"nparticles","tvals","V1","V2","V3","V4","V5","V6","V7","V8"
2,10.824777239115,0.2,0.8,0,0,0,0,0,0
2,10.8976713619373,0.18,0.82,0,0,0,0,0,0
2,10.9705654847597,0.22,0.78,0,0,0,0,0,0
2,11.043459607582,0.13,0.87,0,0,0,0,0,0
2,11.1163537304043,0.19,0.81,0,0,0,0,0,0
2,11.1892478532266,0.2,0.8,0,0,0,0,0,0
2,11.262141976049,0.18,0.82,0,0,0,0,0,0
2,11.3350360988713,0.21,0.79,0,0,0,0,0,0
2,11.4079302216936,0.16,0.84,0,0,0,0,0,0
2,11.4808243445159,0.17,0.83,0,0,0,0,0,0
2,11.5537184673383,0.09,0.91,0,0,0,0,0,0
2,11.6266125901606,0.24,0.76,0,0,0,0,0,0
2,11.6995067129829,0.19,0.81,0,0,0,0,0,0
2,11.7724008358052,0.19,0.81,0,0,0,0,0,0
2,11.8452949586275,0.21,0.79,0,0,0,0,0,0
2,11.9181890814499,0.15,0.85,0,0,0,0,0,0
2,11.9910832042722,0.15,0.85,0,0,0,0,0,0
2,12.0639773270945,0.14,0.86,0,0,0,0,0,0
2,12.1368714499168,0.14,0.86,0,0,0,0,0,0
2,12.2097655727392,0.18,0.82,0,0,0,0,0,0
2,12.2826596955615,0.17,0.83,0,0,0,0,0,0
2,12.3555538183838,0.23,0.77,0,0,0,0,0,0
2,12.4284479412061,0.16,0.84,0,0,0,0,0,0
2,12.5013420640285,0.18,0.82,0,0,0,0,0,0
2,12.5742361868508,0.15,0.85,0,0,0,0,0,0
2,12.6471303096731,0.19,0.81,0,0,0,0,0,0
2,12.7200244324954,0.22,0.78,0,0,0,0,0,0
2,12.7929185553178,0.16,0.84,0,0,0,0,0,0
2,12.8658126781401,0.14,0.86,0,0,0,0,0,0
2,12.9387068009624,0.23,0.77,0,0,0,0,0,0
2,13.0116009237847,0.18,0.82,0,0,0,0,0,0
2,13.084495046607,0.24,0.76,0,0,0,0,0,0
2,13.1573891694294,0.15,0.85,0,0,0,0,0,0
2,13.2302832922517,0.11,0.89,0,0,0,0,0,0
2,13.303177415074,0.17,0.83,0,0,0,0,0,0
2,13.3760715378963,0.2,0.8,0,0,0,0,0,0
